listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
961627,Private Zen Oasis Awaits,34.249572,-118.81697,"Simi Valley, CA, USA",3,,225,225,,,90,8.5%,,4,2,3,house,Yes,2016,Within a day,100%,"June 5, 2017",house,,,4,,Thousand Oaks,CA
901204,"Perfect Family Home Close to LA, Malibu And Santa Barbara",34.170744,-118.826925,"Thousand Oaks, CA, USA",1,,214,235,,,,,5,8,4,2,house,Yes,2016,Within 12 hours,100%,"June 5, 2017",house,,2013,8,,Thousand Oaks,CA
588250,Modern Rustic Retreat,34.1810666,-118.9470422,"Casa Conejo, Newbury Park, CA, USA",20,4.9,308,300,,,,,2,6,3,2,house,Yes,2014,Within 12 hours,100%,"June 4, 2017",house,,1400,6,,Thousand Oaks,CA
660018,"Executive Retreat Newly Remodeled located in quiet, private setting",34.17562699,-118.911865,"Newbury Park, Thousand Oaks, CA, USA",15,4.8,149,165,,,45,,2,4,2,1,house,Yes,2014,Within an hour,100%,"May 31, 2017",house,,600,4,,Thousand Oaks,CA
761691,"A hilltop alfresco retreat with pool, outside firestone, nr  Malibu, LA, SB",34.190609,-118.871721,"Thousand Oaks, CA, USA",13,4.5,150,150,,,130,6.0%,2,5,2,1,house,Yes,2015,Within 12 hours,100%,"May 24, 2017",house,,700,5,,Thousand Oaks,CA
4264690ha,Vacation Home Near Malibu - Fully Furnished,,,"Agoura Hills, CA, USA",5,4.8,351,345,355,,250,14.0%,4,12,4,3,house,Yes,2016,Within an hour,100%,"June 8, 2017",house,,3000,12,,Thousand Oaks,CA
922278,WANNA GET AWAY?  ENTERTAIN UNTIL YOUR HEART IS CONTENT.,34.1744045,-118.7905203,"Thousand Oaks, CA, USA",10,,495,495,,,150,9.0%,1,10,4,3,house,Yes,2016,Within a day,100%,"June 8, 2017",house,,3300,10,,Thousand Oaks,CA
7086613ha,Avocado Orchard View Guest House,34.245484,-118.824911,"Simi Valley, CA, USA",6,,400,450,500,,250,,3,6,3,2,villa,Yes,2011,Within a few days,90%,"May 25, 2017",villa,,1900,6,,Thousand Oaks,CA
729346,Sprawling Ranch House With Pool,,,"Thousand Oaks, CA, USA",7,4.7,360,350,400,,200,10.0%,4,9,4,2,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,3000,9,,Thousand Oaks,CA
693815,A home with all the perks of a resort! Perfect for your stay in So Cal,34.179474,-118.927137,"Newbury Park, Thousand Oaks, CA, USA",3,,150,,,,,,30,4,2,2,house,Yes,2015,Within a few hours,100%,"May 18, 2017",house,,1400,4,,Thousand Oaks,CA
984180,"3BR, 2BA Agoura Hills House w/Landscaped Patio On Edge of Lake Lindero",34.150253,-118.790894,"Agoura Hills, CA, USA",1,,281,,,,,,4,7,3,2,house,Yes,2006,Within an hour,,"June 9, 2017",house,,,7,,Thousand Oaks,CA
725382,Executive Ranch Home with a VIEW!!!,,,"Thousand Oaks, CA, USA",1,,514,,,,,8.0%,7,6,3,2,house,Yes,2015,Within 12 hours,90%,"May 22, 2017",house,,2100,6,,Thousand Oaks,CA
429289,Private Villa Surrounded by Avocado Ranch in Simi,34.245484,-118.824911,"Simi Valley, CA, USA",7,4.4,446,450,500,,,,3,6,3,,house,Yes,2012,Within a few days,90%,"May 23, 2017",house,,2000,6,,Thousand Oaks,CA
603040,"5 Star Upgraded Home In Prime Location. Close To Malibu, LA and Santa Barbara",34.227049,-118.843577,"Thousand Oaks, CA, USA",8,,299,,,,,,7,6,3,2,house,Yes,2014,Within 12 hours,90%,"May 21, 2017",house,,2200,6,,Thousand Oaks,CA
646318,Indoor/Outdoor Executive Home,34.174135,-118.956805,"Newbury Park, Thousand Oaks, CA, USA",6,,325,,,,195,,7,6,3,2,house,Yes,2014,Within an hour,100%,"June 2, 2017",house,,1378,6,,Thousand Oaks,CA
649656,Perfect Artist Retreat or Holiday Stay,34.169332,-118.824615,"Thousand Oaks, CA, USA",4,4.5,205,220,,,,10.0%,6,4,2,2,house,Yes,2014,Within an hour,100%,"April 22, 2017",house,,1400,4,,Thousand Oaks,CA
7043298ha,"""Morning View"" Amazing Mountains View",34.135176,-118.815124,"Westlake Village, CA, USA",0,,,1,1,,175,,,12,4,3,house,Yes,2005,Within a few days,40%,"June 7, 2017",house,,3400,,,Thousand Oaks,CA
568585,Golf Course & Mountain View,34.2026919,-118.9956797,"Camarillo, CA, USA",0,,150,,,,,,3,4,1,2,bungalow,Yes,2014,,,"June 7, 2017",bungalow,,1820,4,,Thousand Oaks,CA
476024,Cheerful home! 3-pool area in beautiful hill setting.,34.174146,-118.786279,"Thousand Oaks, CA, USA",2,,290,350,,,95,,3,8,3,3,house,Yes,2013,Within a day,100%,"May 7, 2017",house,,1910,8,,Thousand Oaks,CA
926112,Dream Lake Front House,,,"Thousand Oaks, CA, USA",0,,,2,,,250,10.0%,3,8,5,7,house,Yes,2016,Within a few days,70%,"May 24, 2017",house,,,,,Thousand Oaks,CA
4432206ha,"Charming Guest House in a Canyon, Beautiful Views",,,"Newbury Park, Thousand Oaks, CA, USA",0,,189,189,,,55,7.5%,,2,Studio,1,guest house,Yes,2017,,,"May 16, 2017",guest house,,700,,,Thousand Oaks,CA
187365ha,"Romantic Malibu Celebrity Retreat, 180º ocean views, spa, 8 acres, gat",34.037766,-118.855616,"Western Malibu, Malibu, CA, USA",58,4.9,805,300,,,,12.0%,3,8,4,2,house,Yes,2007,Within an hour,100%,"June 5, 2017",house,,2000,8,,Thousand Oaks,CA
363653ha,Charming Oceanfront Get-Away on Dry Sandy Carbon Beach - Stingray,34.038245,-118.673871,"Eastern Malibu, Malibu, CA, USA",41,4.9,325,275,,,,12.0%,3,4,1,1,apartment,Yes,2009,Within 12 hours,100%,"June 7, 2017",apartment,1,800,4,,Thousand Oaks,CA
457388,New Beachfront Modern Home on Secluded Beach w/hot tub + custom bthrms,34.039057,-118.588637,"Eastern Malibu, Malibu, CA, USA",43,4.8,900,900,,,350,,3,16,5,4,house,Yes,2013,Within a few hours,100%,"June 9, 2017",house,,3100,16,,Thousand Oaks,CA
178923ha,Lovely Casita Walking Distance to Zuma Beach,34.0262596,-118.8317616,"Western Malibu, Malibu, CA, USA",58,4.9,321,350,,,150,12.0%,3,8,3,2,house,Yes,2007,Within 2 days,80%,"June 8, 2017",house,,1150,8,,Thousand Oaks,CA
369960ha,Malibu. Live the Dream. Beachfront Resort Condo,34.029502,-118.753688,"Central Malibu, Malibu, CA, USA",6,4.3,116,,,,75,,31,4,1,1,condo,Yes,2011,Within a few days,70%,"May 3, 2017",condo,,,4,,Thousand Oaks,CA
4190947ha,"A villa with one bedroom, one bath and kitchen.  Sleeps 2 adults and 2 children.",34.1611997,-118.571892,"Tarzana, Los Angeles, CA, USA",13,4.9,121,130,,,,9.0%,3,4,1,1,villa,Yes,2016,Within 12 hours,100%,"June 1, 2017",villa,,600,4,,Thousand Oaks,CA
757149,"Resort Style, Tuscan Home Close to Shops, 45min to L.a. & 45min to Santa Barbara",34.24261,-119.044659,"Camarillo, CA, USA",21,4.9,325,325,,,,10.0%,3,6,3,2,house,Yes,2015,Within 12 hours,100%,"June 2, 2017",house,,2000,6,,Thousand Oaks,CA
763211,Oceanfront Malibu Modern Luxury,34.037906,-118.623453,"Eastern Malibu, Malibu, CA, USA",23,4.9,850,750,,,250,12.0%,3,7,3,3,house,Yes,2015,Within an hour,100%,"June 5, 2017",house,,,7,,Thousand Oaks,CA
907112ha,Extraordinary Retreat in Malibu,34.080788,-118.9205,"Malibu, CA, USA",47,4.9,200,220,,,,,1,4,1,1,cottage,Yes,2011,Within 12 hours,90%,"June 8, 2017",cottage,,700,4,,Thousand Oaks,CA
363759ha,Exclusive Oceanfront Cottage on Dry Sandy Carbon Beach - Seal,34.038245,-118.673871,"Eastern Malibu, Malibu, CA, USA",24,4.8,325,275,,,,12.0%,3,4,1,1,apartment,Yes,2009,Within 2 days,80%,"June 7, 2017",apartment,1,800,4,,Thousand Oaks,CA
