listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
371541,"Relax in Cozy, Vintage Amish Country Rental with Lake and Barn",,,"Middlefield, OH, USA",17,,129,150,,,,,,10,4,1,farmhouse,Yes,2011,Within a few days,70%,"June 6, 2017",farmhouse,,,10,,Cleaveland
968828,Warehouse District Condo - Completely Renovated in 2017,,,"Downtown, Cleveland, OH, USA",0,,125,149,,,100,2.9%,,2,1,1,condo,Yes,2015,Within a few days,90%,"May 24, 2017",condo,3,,2,building,Cleaveland
874805,Newly Renovated Lakefront Beauty,41.4937548,-81.780298,"Lakewood, OH, USA",0,,123,,,,,,7,2,1,1,condo,Yes,2012,Within 2 days,90%,"May 30, 2017",condo,1,900,2,building,Cleaveland
557545,Saratoga #1 Entire House Centrally Located: Cleveland House Hotels,41.432094,-81.694232,"South Hills, Cleveland, OH, USA",25,4.8,133,165,200,,50,,1,12,4,2,house,Yes,2014,Within a day,100%,"June 6, 2017",house,,1400,12,,Cleaveland
793521,★ Professionally remodeled  century home minutes from the clinic & Downtown!,41.519542,-81.54536,"Cleveland Heights, OH, USA",15,4.9,225,225,245,,85,5.5%,3,8,4,1,farmhouse,Yes,2016,Within an hour,100%,"June 6, 2017",farmhouse,,1600,,,Cleaveland
718397,West Saint James Blvd,41.494422,-81.58674309,"Cleveland Heights, OH, USA",23,4.8,290,260,290,,75,5.5%,3,8,4,2,house,Yes,2015,Within a few hours,100%,"May 21, 2017",house,,1800,8,,Cleaveland
350495,Cleveland's Little Italy,41.50682831,-81.59728241,"University Circle, Cleveland, OH, USA",96,4.9,133,177,200,,,,,5,2,1,house,Yes,2011,Within an hour,100%,"June 6, 2017",house,,,5,,Cleaveland
885404,A Beautiful View Of Cleveland,41.50042435,-81.61324495,"University Circle, Cleveland, OH, USA",0,,,5,,,,8.0%,,4,2,2,condo,Yes,2016,Within a few days,16%,"June 28, 2016",condo,16,2800,4,building,Cleaveland
868860,Artists Historic 2 Bdrm Brownstone Flat Apt  * 5 Minutes To Downtown Cleveland!,41.4872839,-81.7660198,"Edgewater, Cleveland, OH, USA",6,3.8,111,120,,,,,,6,2,1,apartment,Yes,2015,Within a few hours,100%,"June 7, 2017",apartment,,,6,building,Cleaveland
4337742ha,Guest Cottage on 4 acre Estate Near Downtown Cleveland,,,"Bratenahl, OH, USA",8,4.9,60,60,,,,5.5%,3,2,1,1,cottage,Yes,2016,Within a day,90%,"June 6, 2017",cottage,,,2,,Cleaveland
504871,All New Condo with Direct Lake Erie views  2 Bedrooms 2 Bath Lighthouse & Harbor,41.5011839,-81.7021849,"Downtown, Cleveland, OH, USA",41,4.6,200,250,300,,,8.5%,2,4,2,2,condo,Yes,2013,Within an hour,100%,"June 6, 2017",condo,6,940,4,building,Cleaveland
855192,Trendy Stone Castle --12 min to CWRU/Cleveland Clinic,41.51844792,-81.53524837,"South Euclid, OH, USA",1,,90,90,,,,,6,4,2,1,apartment,Yes,2016,Within 12 hours,100%,"May 22, 2017",apartment,2,,4,castle,Cleaveland
587438,Cleveland's Little Italy #2,41.50856497,-81.59609094,"University Circle, Cleveland, OH, USA",36,4.9,133,177,200,,,,,5,2,1,apartment,Yes,2011,Within a few hours,100%,"June 6, 2017",apartment,2,,5,,Cleaveland
4262450ha,Beautiful Five Bedrooms Vacation Home Awaiting You Call Home,41.410683,-81.584294,"Maple Heights, OH, USA",4,4.8,236,150,200,,,8.0%,1,14,5,2,house,Yes,2016,Within an hour,100%,"May 23, 2017",house,,3000,14,,Cleaveland
780315,"Incredible RNC Historic Near Downtown Brownstone Loft Flat! Clinic, University",41.4872839,-81.7660198,"Edgewater, Cleveland, OH, USA",2,,111,120,,,,,,4,2,1,apartment,Yes,2015,Within 12 hours,90%,"June 7, 2017",apartment,,,4,,Cleaveland
632602,"Downtown CLE #1 - Modern Condo, Walk to Convention Center, The Q & Restaurants",41.500168,-81.6980725,"Downtown, Cleveland, OH, USA",32,4.6,155,155,185,,,,1,2,1,1,condo,Yes,2014,Within an hour,100%,"June 6, 2017",condo,2,750,2,,Cleaveland
870989,"Spacious Carriage house, close to University Circle and hospitals",41.503071,-81.574698,"Cleveland Heights, OH, USA",5,4.6,143,185,,,40,8.0%,2,4,1,2,house,Yes,2016,Within 12 hours,100%,"March 14, 2017",house,,,4,,Cleaveland
617855,Modern Mid-Century uniqueness.,41.488836,-81.576958,"Cleveland Heights, OH, USA",27,4.9,100,100,120,,,,,4,2,1,house,Yes,2014,Within 2 days,90%,"May 30, 2017",house,,,4,,Cleaveland
4197599ha,Little Italy Cleveland Old World Charm Extended Stay Suites,41.506369,-81.598974,"University Circle, Cleveland, OH, USA",0,,46,65,,,,,28,2,1,1,apartment,Yes,2016,Within a day,100%,"June 1, 2017",apartment,2,600,2,building,Cleaveland
673508,Whole House Pleasant Parma,41.39821385,-81.69790966,"Cleveland, OH, USA",14,4.8,225,275,300,,70,,1,18,5,2,house,Yes,2014,Within 12 hours,100%,"June 6, 2017",house,,,18,,Cleaveland
814903,Saratoga #3 Updated Whole House Centrally Located: Cleveland House Hotels,41.432121,-81.696509,"South Hills, Cleveland, OH, USA",10,4.5,133,160,200,,40,,1,8,3,1,house,Yes,2014,Within 12 hours,100%,"June 6, 2017",house,,,8,,Cleaveland
860482,"Warehouse Wonder 2 Bed Port of Cle, Lighthouse and Stadium & Lake Erie-Pvt Deck",41.5013401,-81.7018136,"Downtown, Cleveland, OH, USA",11,,249,199,299,,,8.5%,2,6,2,2,condo,Yes,2013,Within an hour,100%,"June 6, 2017",condo,4,1000,6,building,Cleaveland
779060,Amazing RNC Historic Near Downtown Loft Apt,41.48665236,-81.7664201,"Edgewater, Cleveland, OH, USA",6,,107,145,,,60,,,6,2,1,house,Yes,2015,Within 12 hours,100%,"June 7, 2017",house,,,6,,Cleaveland
799170,"Newly Renovated, Furnished 5 Bedrooms, 2.5 Bathroom is  close to  Clinic !",41.493673,-81.586051,"Cleveland Heights, OH, USA",5,4.6,250,250,,,180,8.0%,,12,6,2,house,Yes,2015,Within 12 hours,100%,"June 5, 2017",house,,1700,12,,Cleaveland
4270111ha,"Spectacular Space, 10 minutes from Downtown",41.4382095,-81.6184192,"South Broadway, Cleveland, OH, USA",6,3.8,119,128,,,25,8.5%,1,6,2,2,house,Yes,2016,Within a day,100%,"June 3, 2017",house,,2000,,,Cleaveland
677355,5 Minutes From Downtown Cleveland!!,41.482496,-81.718056,"Detroit - Shoreway, Cleveland, OH, USA",5,4.4,142,109,185,,50,,,10,4,2,condo,No,2015,Within a few days,70%,"June 6, 2017",condo,,,10,,Cleaveland
982912,JUST REMODELED top to bottom -  master bed/bath on main floor!,,,"Cleveland Heights, OH, USA",5,,214,225,235,,75,5.5%,3,8,4,,house,Yes,2016,Within a day,100%,"June 6, 2017",house,,,,,Cleaveland
3894926ha,Warehouse District 1 Bedroom Loft,41.50150531,-81.70287155,"Downtown, Cleveland, OH, USA",7,4.9,144,149,,,,8.5%,2,2,1,1,condo,Yes,2014,Within an hour,100%,"May 29, 2017",condo,3,980,2,building,Cleaveland
596385,Saratoga #2 Whole House Centrally Located In Cleveland,41.432161,-81.696661,"South Hills, Cleveland, OH, USA",10,4.8,133,165,200,,40,,1,8,3,2,house,Yes,2014,Within 12 hours,100%,"June 6, 2017",house,,1300,8,,Cleaveland
847214,Recently Remodeled & Close to Everything!,41.429796,-81.833088,"Cleveland, OH, USA",6,4.8,111,110,,,,,2,6,3,1,house,Yes,2016,Within a few hours,100%,"June 5, 2017",house,,928,6,,Cleaveland
815499,Cozy Stone Castle 12 Mins To CWRU/Cleveland Clinic,41.518651,-81.534978,"South Euclid, OH, USA",0,,100,100,,,,,7,3,2,1,apartment,Yes,2016,Within 12 hours,90%,"April 12, 2017",apartment,1,1200,3,house,Cleaveland
1087893,Gem Stone Villa 2--Less than 15 min to CWRU/Cleveland Clinic!,,,"South Euclid, OH, USA",0,,90,90,,,100,,6,4,2,1,apartment,No,2016,,,"June 5, 2017",apartment,2,,,villa,Cleaveland
674299,"Cool, Stylish And Near Everything",41.48619112,-81.77773002,"Lakewood, OH, USA",3,4.3,110,99,115,,30,,,5,2,1,house,No,2015,Within a few days,70%,"June 7, 2017",house,,,5,,Cleaveland
1037977,Downtown Cleveland Apartment. 3 bdrm 2 bath. 15 min walk to Quicken Loans arena,41.509369,-81.67963759,"Downtown, Cleveland, OH, USA",0,,167,300,,,100,8.0%,2,10,3,2,apartment,Yes,2017,Within 12 hours,100%,"May 31, 2017",apartment,1,1250,10,building,Cleaveland
953049,"E 89th, Cleveland Historic District",41.509213,-81.624398,"Hough, Cleveland, OH, USA",4,4.8,183,195,,,39,,,10,5,2,house,Yes,2016,Within 12 hours,100%,"June 6, 2017",house,,2300,10,,Cleaveland
759707,Cozy and Centrally Located!,41.474249,-81.7753,"Lakewood, OH, USA",1,,90,79,99,,,,,3,1,1,apartment,No,2015,Within a few days,60%,"June 4, 2017",apartment,,,3,,Cleaveland
275386,3 BR  2.5 BA House in Shaker's Fernway area 15 min. from Cleveland Clinic + U.H.,41.466988,-81.552409,"Shaker Heights, OH, USA",1,,127,,,,120,,7,6,3,2,house,Yes,2008,Within a few hours,90%,"May 17, 2017",house,,2200,6,,Cleaveland
814401,4 Bedroom Home In Great Neighborhood Close To Downtown,41.498443,-81.574883,"Cleveland Heights, OH, USA",0,,200,215,,,,,3,8,4,2,house,Yes,2016,Within 12 hours,100%,"June 2, 2017",house,,2100,8,,Cleaveland
657258,Pleasant Parma (Upper) Close to all major highways and 15 minutes to downtown,41.398407,-81.697738,"Parma, OH, USA",9,,125,150,175,,35,,1,8,3,1,apartment,Yes,2014,Within a day,90%,"June 6, 2017",apartment,2,1000,8,building,Cleaveland
676851,5 minutes from Downtown!!,41.482496,-81.718056,"Detroit - Shoreway, Cleveland, OH, USA",4,,143,125,165,,,,,8,3,1,condo,No,2015,Within a few days,50%,"June 2, 2017",condo,,,8,,Cleaveland
4268472ha,3bd+Den -Brand New Modern Home in Heart of Tremont,41.4781433,-81.6820416,"Tremont, Cleveland, OH, USA",2,,350,350,400,,,8.5%,2,6,3,2,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,2250,6,,Cleaveland
936822,"2 Bedroom, full kitchen and bath, 2 full futon beds.  Great location w/ options.",41.4789363,-81.7404134,"Detroit - Shoreway, Cleveland, OH, USA",1,,49,60,,,,,,4,2,1,house,No,2016,Within an hour,90%,"June 6, 2017",house,,900,4,,Cleaveland
4470454ha,Fabulous Five Bedrooms Home,,,"Garfield Heights, OH, USA",0,,179,150,200,,150,8.0%,,14,5,2,house,Yes,2016,Within a few hours,100%,"June 6, 2017",house,,2500,,,Cleaveland
4052154ha,"Cozy 4 Bedroom 1,5 Bathroom House, Ready  For Rnc",41.497663,-81.571797,"Cleveland Heights, OH, USA",2,,250,250,,,,8.0%,2,10,5,1,house,Yes,2015,Within a few hours,100%,"June 3, 2017",house,,,10,,Cleaveland
4211736ha,Beautifully rehabbed Ohio City home,41.48134,-81.721613,"Detroit - Shoreway, Cleveland, OH, USA",2,,286,300,,,,,3,8,3,2,house,No,2016,Within a few hours,100%,"April 8, 2017",house,,,8,,Cleaveland
1085510,Gem Stone Villa 1-- Less than 15 min to CWRU/Cleveland Clinic,,,"South Euclid, OH, USA",0,,90,90,,,100,,6,4,2,1,apartment,No,2016,,,"June 5, 2017",apartment,1,,,villa,Cleaveland
