listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
341265ha,32,1,Jim K.,Ideal space for my wife and I,5,2017-05-04T00:00:00.000+0000,VRBO,2017-05-11T16:45:00.000+0000
341265ha,32,2,Tracey W.,Lovely space in the best neighborhood!  ,5,2017-04-04T00:00:00.000+0000,VRBO,2017-05-05T19:33:00.000+0000
341265ha,32,3,Gisele R.,Best place to stay in Santa Monica,5,2017-03-01T00:00:00.000+0000,VRBO,2017-04-02T20:27:00.000+0000
341265ha,32,4,Patricia M.,The Garden Hide Away,5,2017-02-01T00:00:00.000+0000,VRBO,2017-03-01T15:32:00.000+0000
341265ha,32,5,Lisette V.,Good value for money.,4,2016-12-26T00:00:00.000+0000,VRBO,2017-01-31T18:04:00.000+0000
341265ha,32,6,Andrew B.,Quiet Garden in the Heart of the City,5,2016-11-11T00:00:00.000+0000,VRBO,2016-11-22T23:06:00.000+0000
341265ha,32,7,Marjorie H.,"Lovely, homely studio apartment.",4,2016-10-23T00:00:00.000+0000,VRBO,2016-11-11T17:49:00.000+0000
341265ha,32,8,Karen S.,"Quiet, Clean Gem Tucked Away in a Fantastic Location",5,2016-10-15T00:00:00.000+0000,VRBO,2016-11-02T13:39:00.000+0000
341265ha,32,9,Patti P.,lovely,5,2016-03-01T00:00:00.000+0000,VRBO,2016-04-13T19:10:33.127+0000
341265ha,32,10,Patti P.,Lovely!!!!!!,5,2016-02-29T00:00:00.000+0000,VRBO,2016-04-13T14:39:00.000+0000
341265ha,32,11,Angie S.,Perfect,5,2015-11-07T00:00:00.000+0000,VRBO,2015-11-21T03:41:06.580+0000
341265ha,32,12,Dan T.,Perfect!,5,2015-08-10T00:00:00.000+0000,VRBO,2015-08-20T17:17:23.633+0000
341265ha,32,13,Gail Y.,Perfect location.,5,2015-06-29T00:00:00.000+0000,VRBO,2015-07-28T03:56:41.913+0000
341265ha,32,14,Michele from NOLA,Wonderful Rental,5,2015-03-26T00:00:00.000+0000,VRBO,2015-04-06T03:55:43.000+0000
341265ha,32,15,The Artist,Beautiful Place,5,2014-05-11T00:00:00.000+0000,VRBO,2014-06-30T16:20:32.083+0000
341265ha,32,16,Ann Marie A.,Cozy private quiet - everything I wanted and more!,5,2014-01-25T00:00:00.000+0000,VRBO,2014-02-10T15:31:11.883+0000
341265ha,32,17,Brad Eicher,Highly Recommended,5,2013-07-21T00:00:00.000+0000,VRBO,2013-08-01T06:59:33.323+0000
341265ha,32,18,Cindy,Review of garden cottage.,4,2013-05-22T00:00:00.000+0000,VRBO,2013-06-09T17:30:20.457+0000
341265ha,32,19,Peter T.,Home away from home,4,2013-03-05T00:00:00.000+0000,VRBO,2013-04-03T17:26:21.723+0000
341265ha,32,20,karen_wylde,Perfect location in Santa Monica!  Quiet and beautiful garden,4,2013-01-24T00:00:00.000+0000,VRBO,2013-02-07T00:59:04.083+0000
341265ha,32,21,june m.,What a sleeper!,5,2012-10-24T00:00:00.000+0000,VRBO,2012-11-05T20:30:28.523+0000
341265ha,32,22,Suzanne M.,comfortable hide-away,5,2012-10-12T00:00:00.000+0000,VRBO,2012-10-22T22:33:44.513+0000
341265ha,32,23,Richard B.,Such a delight!,4,2012-09-11T00:00:00.000+0000,VRBO,2012-09-21T04:19:05.650+0000
341265ha,32,24,Kari,A silent place to love,5,2012-06-03T00:00:00.000+0000,VRBO,2012-07-06T20:45:58.153+0000
341265ha,32,25,Anne C.,Perfectly Charming,4,2012-05-25T00:00:00.000+0000,VRBO,2012-06-03T21:25:45.250+0000
341265ha,32,26,Rachel B.,Enchanted Garden Hide-away,5,2012-05-18T00:00:00.000+0000,VRBO,2012-05-28T14:25:03.610+0000
341265ha,32,27,Hallie L.,Great spot for soaking up Santa Monica,4,2012-03-11T00:00:00.000+0000,VRBO,2012-03-21T01:28:49.577+0000
341265ha,32,28,Silvia ,Perfect location in best neighborhood of Santa Monica,5,2012-03-02T00:00:00.000+0000,VRBO,2012-03-15T01:37:00.827+0000
341265ha,32,29,Rio H.,Repeat Visit,4,2012-02-14T00:00:00.000+0000,VRBO,2012-03-09T16:37:26.923+0000
341265ha,32,30,Evelyne M.,lovely,5,2011-09-08T00:00:00.000+0000,VRBO,2011-09-30T15:15:27.243+0000
341265ha,32,31,Hilde Navarro,Garden Hideaway Apartment in Santa Monica,5,2011-06-13T00:00:00.000+0000,VRBO,2011-07-18T07:27:04.393+0000
341265ha,32,32,Silvia ,Great studio apartment in excellent location,5,2011-01-14T00:00:00.000+0000,VRBO,2011-01-28T06:40:41.807+0000
